hs	238	ALK
hs	239	ALOX12
hs	240	ALOX5
hs	241	ALOX5AP
hs	242	ALOX12B
hs	243	ALOX12P1
hs	245	ALOX12P2
hs	246	ALOX15
hs	247	ALOX15B
hs	248	ALPI
hs	249	ALPL
hs	250	ALPP
hs	251	ALPG
hs	253	ALS3
hs	255	ALS5
hs	257	ALX3
hs	258	AMBN
hs	259	AMBP
hs	261	AMCN
hs	262	AMD1
hs	263	AMD1P2
hs	265	AMELX
hs	266	AMELY
hs	267	AMFR
hs	268	AMH
hs	269	AMHR2
hs	270	AMPD1
hs	271	AMPD2
hs	272	AMPD3
hs	273	AMPH
hs	274	BIN1
hs	275	AMT
hs	276	AMY1A
hs	277	AMY1B
hs	278	AMY1C
hs	279	AMY2A
hs	280	AMY2B
hs	281	AMYP1
hs	282	ANCR
hs	283	ANG
hs	284	ANGPT1
hs	285	ANGPT2
hs	286	ANK1
hs	287	ANK2
hs	288	ANK3
hs	289	ANOP1
hs	290	ANPEP
hs	291	SLC25A4
hs	292	SLC25A5
hs	293	SLC25A6
hs	301	ANXA1
hs	302	ANXA2
hs	303	ANXA2P1
hs	304	ANXA2P2
hs	305	ANXA2P3
hs	306	ANXA3
hs	307	ANXA4
hs	308	ANXA5
hs	309	ANXA6
hs	310	ANXA7
hs	311	ANXA11
hs	312	ANXA13
hs	313	AOAH
hs	314	AOC2
hs	316	AOX1
hs	317	APAF1
hs	318	NUDT2
hs	319	APOF
hs	320	APBA1
hs	321	APBA2
hs	322	APBB1
hs	323	APBB2
hs	324	APC
hs	325	APCS
hs	326	AIRE
hs	327	APEH
hs	328	APEX1
hs	329	BIRC2
hs	330	BIRC3
hs	331	XIAP
hs	332	BIRC5
hs	333	APLP1
hs	334	APLP2
hs	335	APOA1
hs	336	APOA2
hs	337	APOA4
hs	338	APOB
hs	339	APOBEC1
hs	341	APOC1
hs	342	APOC1P1
hs	343	AQP8
hs	344	APOC2
hs	345	APOC3
hs	346	APOC4
hs	347	APOD
hs	348	APOE
hs	350	APOH
hs	351	APP
hs	353	APRT
hs	354	KLK3
hs	355	FAS
hs	356	FASLG
hs	357	SHROOM2
hs	358	AQP1
hs	359	AQP2
hs	360	AQP3
hs	361	AQP4
hs	362	AQP5
hs	363	AQP6
hs	364	AQP7
hs	366	AQP9
hs	367	AR
hs	368	ABCC6
hs	369	ARAF
hs	372	ARCN1
hs	373	TRIM23
hs	374	AREG
hs	375	ARF1
hs	377	ARF3
hs	378	ARF4
hs	379	ARL4D
hs	380	ARF4P1
hs	381	ARF5
hs	382	ARF6
hs	383	ARG1
hs	384	ARG2
hs	387	RHOA
hs	388	RHOB
hs	389	RHOC
hs	390	RND3
hs	391	RHOG
hs	392	ARHGAP1
hs	393	ARHGAP4
hs	394	ARHGAP5
hs	395	ARHGAP6
hs	396	ARHGDIA
hs	397	ARHGDIB
hs	398	ARHGDIG
hs	399	RHOH
hs	400	ARL1
hs	401	PHOX2A
hs	402	ARL2
hs	403	ARL3
hs	405	ARNT
hs	406	ARNTL
hs	407	ARR3
hs	408	ARRB1
hs	409	ARRB2
hs	410	ARSA
hs	411	ARSB
hs	412	STS
hs	413	ARSC2
hs	414	ARSD
hs	415	ARSE
hs	416	ARSF
hs	417	ART1
hs	418	ART2P
hs	419	ART3
hs	420	ART4
hs	421	ARVCF
hs	424	ARVD3
hs	425	ARVD4
hs	427	ASAH1
hs	429	ASCL1
hs	430	ASCL2
hs	431	ASD1
hs	432	ASGR1
hs	433	ASGR2
hs	434	ASIP
hs	435	ASL
hs	436	ASLP1
hs	438	ASMT
hs	439	ASNA1
hs	440	ASNS
hs	442	ASNSP2
hs	443	ASPA
hs	444	ASPH
hs	445	ASS1
hs	447	ASS1P2
hs	449	ASS1P4
hs	450	ASS1P5
hs	451	ASS1P6
hs	453	ASS1P8
hs	454	ASS1P9
hs	455	ASS1P10
hs	459	ASS1P14
hs	460	ASTN1
hs	462	SERPINC1
hs	463	ZFHX3
hs	465	ATD
hs	466	ATF1
hs	467	ATF3
hs	468	ATF4
hs	469	ATF4P1
hs	470	ATHS
hs	471	ATIC
hs	472	ATM
hs	473	RERE
hs	474	ATOH1
hs	475	ATOX1
hs	476	ATP1A1
hs	477	ATP1A2
hs	478	ATP1A3
hs	479	ATP12A
hs	480	ATP1A4
hs	481	ATP1B1
hs	482	ATP1B2
hs	483	ATP1B3
hs	484	ATP1B3P1
hs	485	ATP1B1P1
hs	486	FXYD2
hs	487	ATP2A1
hs	488	ATP2A2
hs	489	ATP2A3
hs	490	ATP2B1
hs	491	ATP2B2
hs	492	ATP2B3
hs	493	ATP2B4
hs	495	ATP4A
hs	496	ATP4B
hs	498	ATP5F1A
hs	501	ALDH7A1
hs	504	ATP5F1AP2
hs	506	ATP5F1B
hs	507	ATP5F1BP1
hs	509	ATP5F1C
hs	513	ATP5F1D
hs	514	ATP5F1E
hs	515	ATP5PB
hs	516	ATP5MC1
hs	517	ATP5MC2
hs	518	ATP5MC3
hs	520	ATP5MC2P1
hs	521	ATP5ME
hs	522	ATP5PF
hs	523	ATP6V1A
hs	525	ATP6V1B1
hs	526	ATP6V1B2
hs	527	ATP6V0C
hs	528	ATP6V1C1
hs	529	ATP6V1E1
hs	533	ATP6V0B
hs	534	ATP6V1G2
hs	535	ATP6V0A1
hs	537	ATP6AP1
hs	538	ATP7A
hs	539	ATP5PO
hs	540	ATP7B
hs	541	ALDH7A1P1
hs	542	ALDH7A1P2
hs	543	ALDH7A1P3
hs	544	ALDH7A1P4
hs	545	ATR
hs	546	ATRX
hs	547	KIF1A
hs	549	AUH
hs	550	AUP1
hs	551	AVP
hs	552	AVPR1A
hs	553	AVPR1B
hs	554	AVPR2
hs	558	AXL
hs	560	AZF1
hs	563	AZGP1
hs	566	AZU1
hs	567	B2M
hs	568	B2MR
hs	570	BAAT
hs	571	BACH1
hs	572	BAD
hs	573	BAG1
hs	574	BAGE
hs	575	ADGRB1
hs	576	ADGRB2
hs	577	ADGRB3
hs	578	BAK1
hs	579	NKX3-2
hs	580	BARD1
hs	581	BAX
hs	582	BBS1
hs	583	BBS2
hs	585	BBS4
hs	586	BCAT1
hs	587	BCAT2
hs	590	BCHE
hs	593	BCKDHA
hs	594	BCKDHB
hs	595	CCND1
hs	596	BCL2
hs	597	BCL2A1
hs	598	BCL2L1
hs	599	BCL2L2
hs	600	BAK1P1
hs	601	BAK1P2
hs	602	BCL3
hs	603	BCL5
hs	604	BCL6
hs	605	BCL7A
hs	606	NBEAP1
hs	607	BCL9
hs	608	TNFRSF17
hs	610	HCN2
hs	611	OPN1SW
hs	613	BCR
hs	616	BCRP4
hs	617	BCS1L
hs	618	BCYRN1
hs	619	BCYRN1P1
hs	620	BCYRN1P2
hs	622	BDH1
hs	623	BDKRB1
hs	624	BDKRB2
hs	627	BDNF
hs	628	BEVI
hs	629	CFB
hs	631	BFSP1
hs	632	BGLAP
hs	633	BGN
hs	634	CEACAM1
hs	635	BHMT
hs	636	BICD1
hs	637	BID
hs	638	BIK
hs	639	PRDM1
hs	640	BLK
hs	641	BLM
hs	642	BLMH
hs	643	CXCR5
hs	644	BLVRA
hs	645	BLVRB
hs	646	BNC1
hs	648	BMI1
hs	649	BMP1
hs	650	BMP2
hs	651	BMP3
hs	652	BMP4
hs	653	BMP5
hs	654	BMP6
hs	655	BMP7
hs	656	BMP8B
hs	657	BMPR1A
hs	658	BMPR1B
hs	659	BMPR2
hs	660	BMX
hs	661	POLR3D
hs	662	BNIP1
hs	663	BNIP2
hs	664	BNIP3
hs	665	BNIP3L
hs	666	BOK
hs	667	DST
hs	668	FOXL2
hs	669	BPGM
hs	670	BPHL
hs	671	BPI
hs	672	BRCA1
hs	673	BRAF
hs	675	BRCA2
hs	676	BRDT
hs	677	ZFP36L1
hs	678	ZFP36L2
hs	680	BRS3
hs	682	BSG
hs	683	BST1
hs	684	BST2
hs	685	BTC
hs	686	BTD
hs	687	KLF9
hs	688	KLF5
hs	689	BTF3
hs	690	BTF3P11
hs	693	BTF3P1
hs	694	BTG1
hs	695	BTK
hs	696	BTN1A1
hs	698	BTS1
hs	699	BUB1
hs	700	BVR1
hs	701	BUB1B
hs	705	BYSL
hs	706	TSPO
hs	708	C1QBP
hs	710	SERPING1
hs	711	ERC2-IT1
hs	712	C1QA
hs	713	C1QB
hs	714	C1QC
hs	715	C1R
hs	716	C1S
hs	717	C2
hs	718	C3
hs	719	C3AR1
hs	720	C4A
hs	721	C4B
hs	722	C4BPA
hs	724	C4BPAP2
hs	725	C4BPB
hs	726	CAPN5
hs	727	C5
hs	728	C5AR1
hs	729	C6
hs	730	C7
hs	731	C8A
hs	732	C8B
hs	733	C8G
hs	734	OSGIN2
hs	735	C9
hs	738	VPS51
hs	740	MRPL49
hs	741	ZNHIT2
hs	744	MPPED2
hs	745	MYRF
hs	746	TMEM258
hs	747	DAGLA
hs	750	GAS8-AS1
hs	752	FMNL1
hs	753	LDLRAD4
hs	754	PTTG1IP
hs	755	CFAP410
hs	757	TMEM50B
hs	758	MPPED1
hs	759	CA1
hs	760	CA2
hs	761	CA3
hs	762	CA4
hs	763	CA5A
hs	764	CA5AP1
hs	765	CA6
hs	766	CA7
hs	767	CA8
hs	768	CA9
hs	770	CA11
hs	771	CA12
hs	772	CACD
hs	773	CACNA1A
hs	774	CACNA1B
hs	775	CACNA1C
hs	776	CACNA1D
hs	777	CACNA1E
hs	778	CACNA1F
hs	779	CACNA1S
hs	780	DDR1
hs	781	CACNA2D1
hs	782	CACNB1
hs	783	CACNB2
hs	784	CACNB3
hs	785	CACNB4
hs	786	CACNG1
hs	788	SLC25A20
hs	789	SLC25A20P1
hs	790	CAD
hs	793	CALB1
hs	794	CALB2
hs	795	S100G
hs	796	CALCA
hs	797	CALCB
hs	798	CALCP
hs	799	CALCR
hs	800	CALD1
hs	801	CALM1
hs	802	CALM1P1
hs	804	CALM1P2
hs	805	CALM2
hs	806	CALM2P2
hs	807	CALM2P3
hs	808	CALM3
hs	810	CALML3
hs	811	CALR
hs	813	CALU
hs	814	CAMK4
hs	815	CAMK2A
hs	816	CAMK2B
hs	817	CAMK2D
hs	818	CAMK2G
hs	819	CAMLG
hs	820	CAMP
hs	821	CANX
hs	822	CAPG
hs	823	CAPN1
hs	824	CAPN2
hs	825	CAPN3
hs	826	CAPNS1
hs	827	CAPN6
hs	828	CAPS
hs	829	CAPZA1
hs	830	CAPZA2
hs	831	CAST
hs	832	CAPZB
hs	833	CARS
hs	834	CASP1
hs	835	CASP2
hs	836	CASP3
hs	837	CASP4
hs	838	CASP5
hs	839	CASP6
hs	840	CASP7
hs	841	CASP8
hs	842	CASP9
hs	843	CASP10
hs	844	CASQ1
hs	845	CASQ2
hs	846	CASR
hs	847	CAT
hs	856	CATR1
hs	857	CAV1
hs	858	CAV2
hs	859	CAV3
hs	860	RUNX2
hs	861	RUNX1
hs	862	RUNX1T1
hs	863	CBFA2T3
hs	864	RUNX3
hs	865	CBFB
hs	866	SERPINA6
hs	867	CBL
hs	868	CBLB
hs	869	CBLN1
hs	871	SERPINH1
hs	873	CBR1
hs	874	CBR3
hs	875	CBS
hs	878	CCA1
hs	881	CCIN
hs	882	CCAL1
hs	883	KYAT1
hs	885	CCK
hs	886	CCKAR
hs	887	CCKBR
hs	889	KRIT1
hs	890	CCNA2
hs	891	CCNB1
hs	892	CCNC
hs	894	CCND2
hs	895	CCND2P1
hs	896	CCND3
hs	897	CCND3P1
hs	898	CCNE1
hs	899	CCNF
hs	900	CCNG1
hs	901	CCNG2
hs	902	CCNH
hs	904	CCNT1
hs	905	CCNT2
hs	907	CCT
hs	908	CCT6A
hs	909	CD1A
hs	910	CD1B
hs	911	CD1C
hs	912	CD1D
hs	913	CD1E
hs	914	CD2
hs	915	CD3D
hs	916	CD3E
hs	917	CD3G
hs	919	CD247
hs	920	CD4
hs	921	CD5
hs	922	CD5L
hs	923	CD6
hs	924	CD7
hs	925	CD8A
hs	926	CD8B
hs	927	CD8B2
hs	928	CD9
hs	929	CD14
hs	930	CD19
hs	931	MS4A1
hs	932	MS4A3
hs	933	CD22
hs	935	CD24P1
hs	936	CD24P2
hs	937	CD24P3
hs	938	CD24P4
hs	939	CD27
